"WMA","Cutoff_Date"
"102",1994.97909922551
"103",1915
"110",1938.07888540668
"114",1882.46363416226
"124",1863.42134379535
"13",1890.48593165166
"144",1983
"181",1918
"2",1907.45664953217
"220",1961.86648538912
"228",1857.60977706207
"234",1883
"238",1903.22591014297
"239",1864.02123376267
"25",1901.95926016913
"254",1961.82535232706
"259",1903
"260",1971.3776584502
"261",1938.78152547069
"27",1900
"271",1887.76806536554
"276",1878.24690332006
"28",1874
"285",1863
"287",1870
"291",1872.44881793614
"295",1895.65537673698
"298",1879.24179918698
"299",1896.79440242003
"303",1882
"309",1951.53128500399
"31",1890.33973775808
"315",1883.69977844427
"320",1888
"321",1872.28399743763
"322",1896.31499286062
"324",1857.10296392275
"325",1899
"326",1883
"340",1969
"348",1867.82527208452
"349",1940.50252242065
"351",1800.01140856422
"353",1871
"357",1874.51270731704
"361",1864.50939164796
"362",1973
"366",1915.01845020268
"370",1888
"371",1926.09866730785
"372",1888.92950041026
"380",1967.42984626481
"382",1950
"384",1909
"385",1882
"386",1895.4394448607
"387",1920
"391",1904.84861927575
"393",1897.12324219548
"397",1929.52120765565
"398",1927.0628308258
"410",1906.83303359551
"411",1900
"413",1944.50833287784
"42",1965.62280102192
"426",1863.17297393176
"427",1894.01735548802
"428",1874.78071085579
"429",1895.18767733741
"431",1904.71528902662
"433",1923.70245545966
"434",1881.89898785233
"436",1908.20539717302
"437",1966.32252330115
"438",1912.71849060801
"439",1921.07260717474
"440",1876.78268925091
"441",1949.54162803252
"442",1949.94498824189
"443",1881.09519143243
"447",1915.23366852847
"449",1921
"451",1840.1855111521
"454",1873.26817526837
"458",1886.42818475193
"459",1875.97817102926
"462",1879.28586397213
"464",1991
"470",1934
"475",1909.45961241918
"476",1905.38445153746
"484",1893.79425601527
"485",1879.71196185094
"486",1895.36286520114
"488",1891.76061460338
"489",1891.89686966677
"490",1881.37965301046
"496",1888.63081166313
"498",1879.37573626942
"499",1885
"500",1936.79270553779
"502",1884.12590728884
"503",1889
"504",1884.23626843196
"506",1885.05745745738
"507",1892.41864037753
"508",1881.5057107508
"513",1918.5915853827
"514",1890.17850048558
"515",2003.97155713054
"516",1904.52703970667
"517",1899.16050296793
"519",1868
"521",1900.4166262784
"523",1886
"524",1800
"527",1892.12239055357
"53",1915.57756461976
"531",1896.56627969471
"532",1873.95252351856
"534",1883.53069280378
"540",1890.26452746935
"544",1963.88731153986
"546",1800
"547",1889.58869371449
"548",1993.13003569274
"550",1874.42003667038
"551",1948
"552",1938.03676944338
"554",1966.51227099626
"563",1952.79855456037
"564",1965
"569",1957.19590150044
"577",1967.38481813226
"582",1849
"584",1800
"586",1861.5826516638
"587",1869
"588",1800.29341002325
"59",1870.70677018003
"590",1891.57166571167
"591",1939.34833853776
"592",1943.58388402742
"593",1800.335988983
"594",1868
"595",1858.1548077214
"599",1881
"6",1963.18964665248
"608",1862.99521859034
"609",1857.56887236797
"610",1913.37055011883
"611",1848.00494763386
"615",1871.29809287834
"618",1849.24127097733
"619",1857.97075339373
"620",1854
"622",1846
"625",1860.00260126341
"626",1852.10605422071
"629",1883.92727543876
"632",1858.2127652771
"633",1859.65512340693
"65",1867.21893589486
"73",1936.88966568308
"76",1899.88846258503
"77",1913.41585228454
"79",1897.34384815475
"8",1889.17333830723
"833",1872
"835",1870.57938982468
"838",1862.21084130228
"839",1919.53098513743
"840",1888.82609859686
"841",1861.54223332732
"842",1937.72941549255
"844",1865.10787514048
"845",1861.62798186783
"846",1879.15072978541
"848",1906.73485570373
"85",1974
"853",1882.50203449405
"855",1891.27237705064
"857",1880.98406533773
"859",1896.84898366314
"864",1881.03620311996
"867",1880.02398194347
"869",1863.1843702511
"871",1871.10617184423
"872",1912.27032511286
"873",1877.59477493658
"875",1869.87337952655
"876",1872.17290241003
"877",1870.50038899405
"879",1904.85100137118
"880",1865.19626698694
"885",1927.27983144701
"887",1896.88424761453
"888",1883.60589694386
"889",1887.31961398123
"89",1882.74769042004
"890",1880.29499653843
"892",1867.65015811367
"893",1855.02428791651
"894",1891.03879496634
"895",1871.01632219412
"897",1870.3230066695
"899",1868.27850613739
"900",1916.083554158
"901",1880.13172972899
"903",1881.57441407042
"907",1889.06692293771
"94",1884.37592651014
"97",1915.33949412062
